s,d,t
308,585,16.29132349
791,392,16.29441944
434,290,16.29744503
55,284,16.30687361
838,394,16.31566893
227,244,16.32657513
308,388,16.33086724
838,290,16.33178196
55,388,16.34676918
71,387,16.38152828
71,105,16.38399097
392,388,16.38462423
156,394,16.3852575
71,592,16.3920123
393,290,16.39679696
120,241,16.41903152
97,592,16.42142385
388,538,16.42332364
744,153,16.42761575
744,240,16.45146866
56,284,16.4519612
744,240,16.45695694
395,388,16.47067764
395,452,16.47736208
39,387,16.48151347
154,389,16.48721284
395,442,16.51085466
392,290,16.5169762
395,290,16.52408282
375,241,16.54730246
392,388,16.58600186
392,388,16.58656476
392,388,16.588746
395,388,16.59275667
392,869,16.59338993
434,446,16.5979635
392,388,16.59923002
395,869,16.60028546
395,388,16.60394431
392,388,16.60619592
395,388,16.6075328
543,388,16.61189528
392,388,16.61386543
395,388,16.61386543
392,388,16.61520232
392,388,16.62167568
392,869,16.62716396
395,242,16.63905523
392,157,16.65720877
395,157,16.66333031
392,157,16.67346252
395,388,16.67381433
434,734,16.68605741
636,387,16.71983144
744,157,16.74241782
744,390,16.74980589
548,156,16.75557562
5,388,16.76296368
395,157,16.76978885
395,656,16.78681659
538,284,16.78836457
395,734,16.79019399
434,244,16.79378248
434,295,16.79673771
371,387,16.84001068
98,389,16.84873564
98,392,16.85197232
395,869,16.86900005
250,412,16.87139238
98,99,16.87462906
98,99,16.87540305
871,390,16.93007475
435,734,16.93500013
871,392,16.93528158
435,240,16.95639034
435,295,16.96075282
392,388,16.96757799
871,389,16.97412171
392,157,16.97447352
445,389,16.97989144
392,869,16.98150978
871,99,16.98228376
871,296,16.98960147
392,242,16.99727099
392,450,17.00669957
392,735,17.008529
119,294,17.01232857
392,412,17.01767613
375,294,17.01781685
643,705,17.02703435
709,592,17.03850344
709,392,17.04195121
333,393,17.06270816
187,867,17.06911116
560,290,17.07122203
134,593,17.07846938
560,387,17.08606853
187,150,17.10035213
560,295,17.10626258
243,293,17.12307923
560,393,17.13088948
237,148,17.13433724
560,236,17.13468906
237,452,17.13982552
243,290,17.15424985
560,245,17.1550942
395,867,17.15861232
560,742,17.15980849
838,290,17.16585967
395,734,17.17366991
243,290,17.17521789
838,295,17.17592151
838,290,17.17965073
395,242,17.17972109
395,452,17.18253559
637,412,17.18513901
363,867,17.18535009
392,290,17.18549082
395,290,17.18936076
631,236,17.19027547
392,290,17.19386396
395,157,17.19470831
363,871,17.19562303
392,157,17.19864862
395,388,17.20005587
363,152,17.20399617
395,869,17.20420726
392,242,17.20659959
447,242,17.21518382
392,869,17.22397914
363,446,17.22426059
392,388,17.22482349
40,295,17.2296785
744,157,17.2296785
744,240,17.23446316
744,390,17.23650367
363,93,17.23924781
838,448,17.24135869
40,290,17.26000476
98,392,17.27055915
98,392,17.2714035
744,157,17.27316256
40,867,17.27921374
747,241,17.28892377
127,94,17.29793018
375,150,17.30018178
395,388,17.30911783
395,869,17.31263595
395,242,17.31805387
395,290,17.32241635
395,157,17.32572339
5,388,17.34957629
744,393,17.37434391
127,389,17.37884712
245,395,17.38729062
395,93,17.40790685
31,106,17.41121389
745,538,17.41937595
435,240,17.42268299
753,236,17.42577894
148,290,17.44132906
442,237,17.44259559
40,94,17.44815423
40,94,17.45132055
393,290,17.46307109
887,94,17.47883231
40,295,17.48094318
56,389,17.48706472
194,105,17.52421615
194,705,17.52998588
102,386,17.5645339
5,594,17.56608187
5,594,17.5667855
71,592,17.5667855
154,705,17.56868529
154,445,17.57368103
766,290,17.57438465
154,94,17.57712879
744,240,17.58374287
678,451,17.59077913
709,592,17.60231859
678,388,17.60963629
878,290,17.60977702
98,99,17.61252116
709,392,17.61688364
871,91,17.63932929
102,388,17.64207343
766,290,17.66163422
5,594,17.66465981
98,91,17.669937
871,91,17.6909754
392,388,17.7156023
392,388,17.71722064
392,290,17.72383472
392,242,17.72622704
766,290,17.72883046
392,386,17.72953408
392,386,17.73051916
392,386,17.73129315
392,386,17.7315746
392,386,17.73178569
870,734,17.73234859
870,293,17.73692215
392,386,17.74044028
392,386,17.74072173
870,843,17.74916524
870,290,17.75746802
428,734,17.76288593
871,392,17.76950001
393,290,17.78026548
392,290,17.78842754
422,451,17.78948298
422,412,17.80031881
133,868,17.83113761
898,236,17.84000329
100,869,17.85154275
485,97,17.85161311
395,386,17.87166644
395,388,17.87462167
709,868,17.87532529
395,242,17.87968777
512,97,17.88299481
395,290,17.88503533
395,157,17.88707584
766,290,17.90262597
447,308,17.90811424
393,734,17.91036585
187,150,17.91303962
338,97,17.94041066
8,244,17.96018253
308,290,17.96679661
434,95,17.97151091
363,95,17.97531048
434,244,17.97629556
445,94,17.99079025
236,734,17.99522309
880,102,18.03568155
880,244,18.04088838
375,150,18.04187346
445,393,18.05087987
393,388,18.05756431
522,446,18.06987776
435,734,18.07276262
445,94,18.07438096
880,394,18.0827541
880,388,18.08753876
40,94,18.11054731
102,386,18.1158245
703,237,18.11758357
308,236,18.12490127
445,94,18.14354735
133,592,18.16064545
31,868,18.17499941
880,387,18.21426172
880,734,18.21756876
395,92,18.22411247
878,446,18.23417432
291,394,18.24719139
8,152,18.26745581
709,592,18.26893342
435,762,18.29975222
886,93,18.30650702
435,388,18.30685884
511,100,18.32022772
511,387,18.32634926
269,96,18.33028957
226,387,18.34175866
269,90,18.34260301
764,446,18.34851347
31,761,18.35379066
511,758,18.36033438
856,442,18.36364142
587,244,18.37187384
100,869,18.37426616
540,237,18.37461798
587,736,18.38080988
8,90,18.38214677
435,869,18.40037067
540,295,18.40304445
8,757,18.40550714
56,393,18.43576303
486,97,18.43878862
486,705,18.45553491
486,245,18.45701253
870,734,18.46897416
870,734,18.46953706
428,387,18.47326628
870,240,18.47664368
390,538,18.49451577
506,295,18.49465649
339,761,18.50232601
435,734,18.52589747
709,736,18.5989338
886,448,18.60526643
424,388,18.6085031
887,95,18.63517051
102,869,18.64305112
102,388,18.64868012
395,386,18.66437097
887,94,18.66577822
395,869,18.67119614
395,93,18.67872493
8,412,18.67914711
395,443,18.6799211
8,412,18.68118762
538,759,18.68885714
3,157,18.68899786
424,388,18.6964563
3,395,18.71594672
3,759,18.73374845
100,869,18.73663331
434,95,18.74936894
62,292,18.75176126
434,95,18.75190199
395,766,18.75239453
362,767,18.75387214
3,387,18.75633483
362,244,18.7573199
363,767,18.76076767
3,586,18.7637229
3,244,18.77089988
443,766,18.7721664
49,236,18.77666961
362,448,18.77758432
3,90,18.78300224
49,106,18.78314296
554,443,18.78335405
3,90,18.78462058
8,90,18.78785725
98,240,18.78842015
437,767,18.78884233
3,451,18.79200864
8,387,18.79630076
362,394,18.7979191
362,387,18.8007336
851,388,18.80115578
747,154,18.80375919
362,90,18.80439245
8,244,18.80643297
178,743,18.80769949
554,290,18.80784022
31,106,18.80875493
362,758,18.80959928
127,94,18.80988073
3,412,18.81199161
8,90,18.81550974
127,237,18.81593191
3,296,18.81740953
872,99,18.8276121
3,392,18.82789355
435,871,18.8293008
3,757,18.83077841
8,490,18.83169312
371,308,18.83352255
435,767,18.83697032
435,767,18.83788503
3,766,18.84175497
70,389,18.84400657
538,490,18.84604708
3,93,18.84682107
538,759,18.84858014
548,295,18.85230935
435,869,18.85589784
443,452,18.85765691
8,244,18.86061213
766,290,18.86595969
3,490,18.87109615
538,490,18.87763987
8,759,18.88150981
371,393,18.88200235
3,244,18.89445652
3,759,18.90114096
363,767,18.90845867
3,387,18.90859939
8,244,18.91943523
538,296,18.92478278
548,388,18.92696402
538,759,18.92703438
8,244,18.93097469
90,867,18.93484463
49,290,18.93794058
8,759,18.94216233
90,392,18.94371031
587,736,18.94497683
3,244,18.94497683
8,244,18.9472988
3,244,18.95637557
759,740,18.95820499
125,757,18.95883826
247,763,18.96355255
767,394,18.96953337
767,242,18.97614745
8,387,18.98423914
3,90,18.98782763
31,495,18.98972742
776,395,18.99247156
220,767,18.9929641
759,493,18.99317518
8,90,18.99423062
759,493,18.99479352
709,392,18.99606005
767,392,19.00098543
709,736,19.00119652
767,392,19.00133724
3,395,19.00640334
102,869,19.00759951
3,490,19.01189162
247,290,19.01519866
102,386,19.01829462
767,496,19.0190686
149,759,19.02089803
3,757,19.02124984
8,244,19.02441616
102,388,19.02462725
102,388,19.02504942
102,388,19.02554196
102,388,19.0260345
8,244,19.02638631
776,395,19.0265974
3,759,19.02751211
220,496,19.03088951
93,388,19.03117096
3,244,19.03384474
149,759,19.03848867
759,496,19.04461021
759,496,19.04770616
93,395,19.04833943
296,308,19.05277227
296,308,19.05319444
220,496,19.05692366
296,395,19.05776801
98,389,19.06001961
98,392,19.06445245
8,290,19.06550789
93,104,19.06614115
393,290,19.06818167
8,759,19.07479575
767,496,19.07761025
149,759,19.07922859
767,740,19.08133946
93,295,19.08169128
93,295,19.08267635
93,244,19.0852094
767,106,19.08816463
93,452,19.09428617
767,223,19.0972414
93,100,19.09977445
93,498,19.10223714
93,101,19.10526273
93,394,19.1081476
220,496,19.10948449
149,392,19.11018811
751,152,19.11103246
149,392,19.11251008
93,484,19.1143395
93,656,19.11842053
108,589,19.12060177
93,443,19.12081286
98,392,19.12165721
93,742,19.12264228
93,90,19.12573824
93,102,19.1286231
149,392,19.12981926
93,106,19.13101543
362,244,19.14297706
93,107,19.14304742
93,107,19.14396214
93,152,19.14769135
93,870,19.15191311
388,387,19.15233528
93,585,19.15451652
93,757,19.15683848
93,734,19.15866791
93,290,19.16183423
362,867,19.16190459
709,392,19.16415619
375,97,19.16936302
362,90,19.16964447
134,308,19.18181719
890,222,19.18772764
499,495,19.18976816
362,767,19.1953268
362,767,19.19680441
65,222,19.21622448
833,391,19.23881086
495,389,19.24894307
833,388,19.25105394
833,388,19.25217974
156,387,19.33598155
227,767,19.3687705
359,97,19.39325666
65,102,19.45489426
708,221,19.47712883
227,295,19.52905639
522,154,19.53180053
375,241,19.53201162
747,220,19.5329967
227,762,19.54749138
236,290,19.5585383
624,236,19.57809909
560,762,19.58963855
71,592,19.62284968
560,387,19.6333337
71,294,19.63417805
71,443,19.64051068
435,222,19.65479428
435,222,19.65796059
547,236,19.66387105
560,152,19.67463652
522,236,19.72804169
445,152,19.72966003
592,292,19.77166648
592,220,19.77504388
592,93,19.78292449
869,294,19.79432322
158,395,19.79523793
592,870,19.80332963
592,491,19.81170277
158,734,19.81332111
504,484,19.81388401
504,484,19.81697996
158,443,19.81796504
158,290,19.82823797
504,443,19.8311932
540,237,19.86742991
517,443,19.89374551
158,594,19.90176684
871,392,19.99133837
121,734,20.0809099
121,92,20.10342592
224,389,20.22670111
224,767,20.2891127
224,226,20.2936159
611,226,20.33407437
244,92,20.99759325
244,592,21.03453359
244,90,21.05578308
244,843,21.06556348
244,585,21.09180871
5,594,21.1175614
244,392,21.11826503
395,386,21.20917345
395,157,21.22282378
395,93,21.22570865
395,443,21.22725662
193,284,21.28945712
870,759,21.3229497
363,767,21.33047849
363,867,21.33976635
363,734,21.34588789
363,244,21.35102436
560,395,21.41969821
560,762,21.4255383
560,152,21.4306044
237,762,21.43862573
791,874,21.45065773
791,222,21.45663855
237,452,21.4602974
791,497,21.46550423
791,594,21.47634006
237,452,21.48907569
395,388,21.50976228
677,387,21.52770473
677,387,21.5281269
478,387,21.53122286
677,245,21.533967
395,762,21.53467062
677,390,21.545225
677,538,21.54775806
127,237,21.55205017
395,734,21.61031037
239,155,21.65330189
81,734,21.67314413
128,387,21.70178169
128,390,21.70902903
128,393,21.73513354
709,874,21.78122101
709,392,21.7870611
709,736,21.79029778
709,592,21.79599714
557,393,21.82646413
372,226,21.82878609
81,386,21.83068588
538,490,21.86643006
538,490,21.86727441
538,759,21.87177761
538,412,21.87782879
791,148,21.88029148
357,443,21.92074995
8,244,21.96852613
88,484,21.96986301
395,869,22.01503577
395,452,22.0339633
244,240,22.0367778
362,767,22.06224905
362,767,22.06710406
286,152,22.06787805
832,758,22.06970748
362,244,22.07083328
286,742,22.07357742
362,244,22.07364778
362,387,22.07955824
362,758,22.08532797
335,240,22.09940048
239,290,22.13289305
256,491,22.14422142
445,762,22.16596345
435,762,22.16596345
435,244,22.17701037
392,290,22.23421513
395,386,22.24357335
247,445,22.25673115
247,296,22.25933456
437,767,22.2763623
244,240,22.31295083
267,197,22.33989968
237,452,22.34018113
731,240,22.34355854
870,734,22.35889757
244,592,22.36044555
870,395,22.36065664
709,592,22.36551165
870,308,22.36558202
870,290,22.37170356
694,244,22.39534538
540,444,22.40181873
102,869,22.40435178
871,392,22.41110659
56,284,22.41603197
540,878,22.41807248
244,240,22.425742
636,205,22.43439659
540,205,22.43488913
678,451,22.45205759
226,387,22.4531834
678,441,22.45466101
886,93,22.46472285
636,104,22.49096809
636,491,22.52115362
55,284,22.52354595
3,90,22.5448658
49,290,22.55844578
363,734,22.57772512
247,155,22.58384666
363,93,22.59236053
363,244,22.60136693
393,290,22.60418144
308,236,22.64717296
704,443,22.66391924
55,389,22.66849281
8,290,22.67946937
308,290,22.68777215
375,491,22.69297898
97,592,22.69797472
750,443,22.70726258
538,296,22.74342893
8,244,22.74933938
389,735,22.76214537
171,871,22.76369334
8,244,22.76524132
285,296,22.76981489
890,222,22.77544389
631,236,22.78367631
776,395,22.78515392
538,296,22.78550574
389,592,22.79964861
389,868,22.81245459
71,736,22.82666783
389,392,22.83644822
71,105,22.83644822
247,296,22.84566572
118,226,22.86473397
118,484,22.87648452
735,225,22.88105808
118,390,22.90294084
735,225,22.90610715
851,445,22.92693447
98,389,22.93108586
98,392,22.93305601
709,736,22.94037372
709,592,22.9481136
98,94,22.94902831
709,392,22.95170209
184,850,22.95226499
445,196,22.95325006
445,107,22.95761254
118,850,22.95866798
118,393,22.98266161
434,290,23.00327784
435,222,23.00552944
121,226,23.0055998
121,225,23.01073627
832,850,23.02896017
445,758,23.04162543
434,767,23.04641008
777,293,23.05302416
638,308,23.05837172
374,387,23.0678003
871,296,23.06787066
434,443,23.08764254
374,878,23.08869798
256,491,23.08982378
434,443,23.09179393
556,90,23.1053739
429,95,23.10748478
8,760,23.10924385
686,388,23.1157172
8,90,23.12120548
706,387,23.12141657
429,762,23.1219091
374,387,23.12444216
556,90,23.12669376
8,90,23.12964899
434,734,23.13464473
31,495,23.13957011
285,296,23.14210316
445,391,23.14491766
364,90,23.1459731
31,868,23.1459731
434,446,23.1470989
766,290,23.14857651
871,296,23.15089848
434,295,23.15117993
8,90,23.15378334
393,290,23.15603494
363,446,23.15870872
8,90,23.15941235
348,445,23.15941235
445,290,23.1647599
434,95,23.17235906
127,205,23.17517356
434,95,23.17524392
348,391,23.17615863
871,152,23.17862132
637,290,23.17967676
766,290,23.18206909
637,107,23.18305416
70,389,23.18425033
247,290,23.18432069
127,94,23.18840172
764,446,23.1955787
247,296,23.2017706
540,205,23.20310749
188,99,23.20831432
429,852,23.21133991
362,767,23.22590496
364,767,23.22822692
78,734,23.22907127
362,767,23.23751478
363,95,23.23941457
364,767,23.241244
362,387,23.24623974
363,852,23.24645082
362,867,23.24835061
362,767,23.25151693
429,95,23.25327599
364,767,23.25749775
362,759,23.25876427
445,152,23.26178986
362,767,23.26326748
870,878,23.26361929
364,767,23.27459585
870,290,23.27522911
870,390,23.27987304
98,94,23.29127177
148,757,23.31005857
363,767,23.32349782
392,735,23.32455326
392,290,23.33482619
434,290,23.35473879
735,855,23.37359596
98,392,23.37788807
512,97,23.41644675
478,159,23.42467917
708,245,23.43065999
105,763,23.4374148
478,734,23.44353634
105,104,23.44670265
838,244,23.45395
335,99,23.50482212
392,412,23.51805028
395,452,23.52487545
395,869,23.52944902
239,736,23.52973047
93,290,23.53254497
634,155,23.54155137
395,734,23.55034669
359,97,23.55569425
634,484,23.56364522
395,734,23.56871132
227,244,23.56955567
737,290,23.5730738
424,388,23.57377742
227,734,23.57434032
102,869,23.58376891
392,869,23.58721667
102,388,23.5924235
519,443,23.61599496
709,738,23.63267088
93,290,23.65363892
3,451,23.65842358
